c10,sc10
이안,어떤 게 좋을까?
  ,노아는 노란 꽃이 피어 있는 화분을 바라보고 있었다.
  ,노아는 이 화분이 마음에 들어?
  ,음… 그런데 어쩌지… 이 꽃은 이미 활짝 핀 상태이기도 하고
  ,요즘 날씨도 추워서 실내에서 키워도 금방 시들텐데…
이안,그럼 이 친구는 어때? 
이안,내가 책에서 읽었는데 로즈마리는 잘 죽지 않아서 키우기도 쉽고 겨울에는 실내에 둬도 잘 자란대.  
이안,그리고 잠깐 이쪽으로 와볼래 노아야? 
  ,노아가 로즈마리 화분이 있는 쪽으로 다가갔다.
이안,어때? 꽃은 없지만 이 정도 거리에서도 좋은 향기가 나지?
  ,노아는 로즈마리의 향이 맘에 들었는지 편안해진 표정으로 고개를 끄덕였다.
이안,허브라서 여러 음식에 넣어도 되고 로즈마리 차는 건강에도 좋아. 
  ,노아는 잠시 뒤돌아보더니 이안에게 손짓해 이안의 귀에 무언가 소곤거렸다.
  ,이안의 입가에 미소가 번졌다.
이안,노아가 로즈마리가 마음에 든대. 이걸로 할까?
  ,정말? 그럼 이 화분으로 데려가자.
  ,우리는 점원이 포장해준 화분을 들고 집으로 돌아갔다.
  ,노아는 피곤했는지 로즈마리 화분에 붙여줄 이름을 생각하다가 소파에서 잠이 들었다.
  ,나는 노아에게 담요를 덮어주고 노아의 머리칼을 부드럽게 쓸어주었다.
이안,노아는 잠들었나 보네.
  ,티는 별로 안 냈지만 아침부터 내 상태도 안 좋았고
  ,꽃집에서는 범인에 대한 정보가 나올 수도 있으니까 오늘 하루 종일 계속 긴장한 거 같아. 
이안,그러게…근데 넌 어떻게 생각해? 
이안,이 정도면 꽃집 조사도 충분하지 않았나?
  ,잘 모르겠어…더 꼼꼼하게 조사할 수 있으면 좋을텐데…
이안,그러면 다음에는 더 꼼꼼히 조사해보자. 
이안,노아를 위해서라도 우리 조금만 더 힘내는 거야.
  ,응. 빨리 사건의 진실이 밝혀졌으면 좋겠어.
  ,우리는 그 대화를 끝으로 잠든 노아를 안고 침실로 들어가 함께 잠에 들었다.
  ,(노멀엔딩 : 아직 밝혀지지 않은 진실)
  ,  
  ,(진엔딩 루트 - 메리골드 2회 탐색 )
  ,(비밀 쪽지 팝업 나오기)
  ,(찰칵 효과 사운드)
  ,시스템 : [비밀쪽지]가 [사건 일지]에 기록되었습니다.
  ,아데린?
  ,…! 아데린이라면…
  ,(실종포스터 배경)
  ,얼마 전 실종신고 포스터에서 본 아이야!
  ,(비밀 쪽지 팝업 나오기)
노아,아데린이… 실종…?
이안,실종된 아이라고? 근데 이 그림은…
  ,손수건… 별장에서 발견한 손수건에 있던 자수랑 똑같이 생겼어.
  ,(팝업 사라진 꽃집 배경)
  ,그 말을 들은 노아는 갑자기 꽃집 밖으로 뛰어가기 시작했다. 
  ,노아야!
  ,이안과 나도 서둘러 노아를 따라 꽃집 뒤편으로 향했다.
  ,먼저 달려 나간 노아는 쪽지의 지도가 가리키고 있는 화단 앞에 서 있었다.
이안,어? 분명히 여기인데 물건이 없어. 
이안,쪽지는 우리가 처음 발견한 것 같았는데 그 새 누가 물건을 발견하고 치운 걸까?
  ,예쁜 노래를 선물로 준다니…노래를 선물하는 법이 뭐지? 악보? 악기?
노아,오르골…오르골이에요…
  ,[그림 1 – 회상CG 꽃집거리]
노아,그 날 제가 따라간 건 범인이 아닌 아데린이었어요. 
노아,저는 그 아이의 뒷모습을 보고 얼마 전 입양 간 아데린이라는 걸 한 눈에 알아 봤죠.
  ,[그림2 – 회상CG 꽃집 뒤편1] 
노아,따라 간 아데린은 여기 꽃집 뒤편으로 오고는 갑자기 화단으로 들어갔어요. 
노아,그리고 제가 아데린을 부르려던 순간…
  ,[애니메이션 장면(꽃집뒤편1 2 3 순서대로 나오는 짤)]
노아,창고 문이 열렸고 아데린은 망설임 없이 그 문으로 들어갔어요.
  ,[그림5 – 회상CG 꽃집뒤편4]
노아,저는 아쉬운 마음에 화단 쪽으로 걸어 갔고.
  ,[그림 6 – 회상CG 오르골]
노아,그리고 화단의 꽃들 사이에서 이 오르골을 발견했어요.
  ,[그림7 – 회상CG 오르골을 들고 기다리는 노아]
노아,아데린이 놓고 간 물건이라 여긴 저는 창고 벽에 기대어 아데린이 나오길 기다렸어요. 
노아,하지만 나온 건… 
  ,[문 열리는 애니메이션] 
  ,[그림8] - 당황스러운 표정의 릴리
  ,[그림9] - 노아의 하이앵글
  ,[노아의 눈 클로즈업 애니메이션]
  ,로빈이 남긴 쪽지. 로빈이 화단에 숨겨뒀지만 노아의 주머니에서 나온 오르골.
  ,그리고 별장에서 발견된 손수건까지…
  ,우리가 여태까지 모아온 조각들이 하나의 이야기를 구성하기 시작했다.
  ,우리는 이를 사건 일지에 정리해 경찰에게 넘겼다. 
  ,  
